player_norm,avg_runs_last10,matches_count
gm strydom,13.4,5
go jones,20.1,10
gp swann,11.0,10
gp tom,4.75,4
gr codrington,13.33,6
gs ballance,20.0,10
gsnfg jayasuriya,20.11,9
gt main,27.33,3
gull feroza,2.67,3
gulsan jha,22.9,10
gurkeerat singh,6.5,2
gw flower,21.4,10
gwhm perera,24.3,10
h carlyon,31.25,4
h davids,4.0,2
h deol,34.9,10
h durham,4.0,1
h graham,4.0,1
h hiri,18.8,10
h karunaratne,10.3,10
h kaur,35.4,10
h klaasen,49.3,10
h madavi,48.9,10
h masakadza,14.6,10
h osinde,1.38,8
h patel,17.6,10
h shah,4.5,2
h thaker,29.1,10
ha varaiya,4.1,10
habibul bashar,14.8,10
haider ali,21.0,2
ham samuddika,9.57,7
hammad azam,13.17,6
hammad mirza,24.0,10
hamza tahir,3.25,8
hamza tariq,19.8,5
hannan sarkar,24.5,10
hapw jayawardene,2.0,2
harbhajan singh,11.2,10
haris rauf,7.4,10
haris sohail,40.2,10
harmeet singh,20.4,10
harshit rana,13.0,1
hasan ali,10.3,10
hasan mahmud,3.6,10
hasd siriwardene,13.9,10
haseeb amjad,21.0,1
haseebullah khan,0.0,1
hashir dafedar,9.67,3
hasibul hossain,2.33,3
hassan nawaz,37.33,3
hassnain shah,23.33,3
hazrat bilal,6.0,4
hb shipley,3.0,6
hc brook,28.7,10
hc knight,16.3,10
hd rutherford,3.75,4
hdj siegers,21.0,5
hdpk dharmasena,16.12,8
hdrl thirimanne,24.4,10
hdrs silva,12.5,2
he van der dussen,28.3,10
he whelan,2.0,1
hf gurney,2.5,6
hg munsey,67.6,10
hgv vare,4.0,5
hh dippenaar,28.9,10
hh gibbs,35.4,10
hh pandya,23.8,10
hh streak,35.1,10
hhc gunaratne,4.33,3
his mendis,6.5,2
hj armitage,26.0,3
hj thomas,8.43,7
hjc mol,10.5,4
hjh marshall,11.5,10
hjw gardiner,20.29,7
hk badani,27.0,5
hk bennett,2.0,5
hk matthews,41.4,10
hk olonga,3.0,1
hl baker,3.0,1
hl colvin,7.25,4
hl ferling,2.25,4
hm amla,26.8,10
hm nicholls,27.0,10
hm rowe,16.8,10
hm tiffen,33.0,1
hm watson,15.0,1
hmcm bandara,10.7,10
hmd rasangika,29.0,8
hml madushani,1.5,2
hmrkb herath,5.9,10
hn ya france,19.3,10
hnk jensen,7.2,10
hp rinke,3.5,8
hp tillakaratne,27.2,10
hr huddleston,4.3,10
hr johnson,4.5,2
hr walsh,7.9,10
hra rainey,3.67,6
hs baidwan,7.3,10
hs modi,16.4,10
ht tector,29.9,10
hussain talat,18.75,4
hw rambaldo,9.5,2
hwa landheer,3.29,7
hwr cartwright,1.0,2
i dulani,8.67,3
i kaia,17.9,10
i maraj,16.33,6
i ranaweera,5.5,10
i sharma,2.5,10
i toua,5.86,7
i udana,8.8,10
i van der woning,3.25,4
i wardlaw,2.25,8
ia karim,65.33,3
ia nicolson,0.0,1
ic gaze,15.2,10
id blackwell,7.9,10
idr bradshaw,7.9,10
ie o'brien,1.5,2
iecm wong,15.0,1
iftikhar ahmed,28.1,10
iftikhar anjum,6.5,10
ig butler,9.75,8
ig holland,29.2,10
ih romaine,11.0,10
ij harvey,14.1,10
ijl trott,40.3,10
ijr zwilling,11.2,10
ik pathan,18.4,10
im vaghela,9.0,5
imad wasim,22.6,10
imam-ul-haq,24.6,10
imhc joyce,25.12,8
imran farhat,28.2,10
imran haider,4.8,10
imran nazir,32.6,10
imran tahir,3.9,10
imrul kayes,46.4,10
inzamam-ul-haq,19.2,10
ipp batuwitarachchi,7.0,2
ir bell,45.7,10
ir james,25.5,2
iram javed,15.9,10
irfan ahmed,18.33,3
irfan khan,8.0,6
is billcliff,22.3,10
is sodhi,9.8,10
is sohi,0.0,1
ishan kishan,37.6,10
ishma tanjim,8.0,3
j anderson,19.67,6
j andrew,4.0,2
j blackwood,7.67,3
j blades,0.0,1
j botha,13.8,10
j campbell,4.0,2
j charles,26.1,10
j da silva,7.0,2
j drysdale,2.0,1
j edness,29.75,4
j figy john,27.5,2
j fraser-mcgurk,14.0,7
j glasgow,16.43,7
j goswami,10.2,10
j gray,15.5,4
j gumbie,18.9,10
j jarvis,5.5,10
j kariko,4.0,2
j kila,12.5,10
j lewis,6.14,7
j little,6.2,10
j liyanage,36.2,10
j logtenberg,3.0,2
j louw,23.0,1
j maguire,7.0,10
j matharu,3.5,2
j mubarak,18.1,10
j nkomo,19.0,10
j nyumbu,2.6,10
j overton,10.0,5
j pashley,2.0,1
j patraj,10.5,2
j post,5.0,3
j ramanandi,2.0,1
j sharma,8.5,2
j smits,9.0,8
j srinath,3.88,8
j sumerauer,28.0,3
j theron,4.5,10
j van vliet,8.75,4
j yadav,1.5,2
ja burns,24.33,6
ja clarkson,8.5,2
ja duffy,2.4,5
ja mccollum,29.67,6
ja morkel,16.3,10
ja richardson,11.62,8
ja rudolph,25.3,10
ja simpson,10.0,2
ja turner,2.0,1
ja whelan,0.0,1
jad lawrenson,44.25,4
jah marshall,5.5,6
jahanara alam,5.5,10
