id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
274921,V Permaul,4,bowler,right-hand bat,slow left-arm orthodox,7.0,4.0,19.0,6.33,73.07,0.0,0.0,8.0,33.87,4.91,41.3,6.33,33.87,8.0,19.0,33.87,10,26.0,41.3,7.0,4.0,0.0,8.0,4.91,Mar-40,0.0,0.0,2012-2017,7.0,4.0,1.0,19.0,10,6.33,26.0,73.07,0.0,0.0,0.0,1.0,0.0,2012-2017,Mar-40,Mar-40,,33.87,4.91,41.3,271.0,0.0,0.0,7.0,0.0,7.0,55.1,,0.0,8.0,West Indies,11/08/1989
914467,A Phillip,4,bowler,right-hand bat,right-arm fast-medium,5.0,2.0,22.0,22.0,88.0,0.0,0.0,4.0,51.75,6.36,48.7,22.0,51.75,4.0,0.0,22.0,0,5.0,42.0,1.0,1.0,0.0,1.0,3.14,Jan-22,0.0,0.0,2021-2022,5.0,2.0,1.0,22.0,21*,22.0,25.0,88.0,0.0,0.0,0.0,0.0,1.0,2021-2022,Feb-50,Feb-50,,51.75,6.36,48.7,207.0,0.0,0.0,5.0,0.0,5.0,32.3,,0.0,4.0,West Indies,22/08/1996
230559,KA Pollard,4,batting allrounder,right-hand bat,right-arm medium,123.0,113.0,2706.0,26.01,94.41,3.0,10.0,55.0,39.29,5.69,41.3,26.01,39.29,55.0,2398.0,38.94,119,2547.0,40.6,107.0,99.0,3.0,52.0,5.74,Mar-27,0.0,0.0,2007-2022,123.0,113.0,9.0,2706.0,119,26.01,2866.0,94.41,3.0,13.0,15.0,171.0,135.0,2007-2022,27-Mar,27-Mar,,39.29,5.69,41.3,2161.0,0.0,0.0,82.0,4.0,123.0,379.1,,0.0,55.0,West Indies,12/05/1987
604302,N Pooran,4,wicketkeeper batter,left-hand bat,right-arm offbreak,52.0,49.0,1555.0,36.16,96.1,1.0,5.0,6.0,29.0,6.17,28.1,36.16,29.0,6.0,728.0,,118,661.0,,19.0,17.0,1.0,,,,,,2019-2022,52.0,49.0,6.0,1555.0,118,36.16,1618.0,96.1,1.0,11.0,3.0,122.0,61.0,2019-2022,Apr-48,Apr-48,,29.0,6.17,28.1,174.0,0.0,1.0,7.0,0.0,52.0,28.1,,0.0,6.0,West Indies,02/10/1995
820351,R Powell,4,middle-order batter,right-hand bat,right-arm medium-fast,45.0,42.0,897.0,23.0,83.05,1.0,2.0,3.0,91.66,5.89,93.3,23.0,91.66,3.0,670.0,81.0,101,806.0,81.6,34.0,31.0,1.0,3.0,5.95,01-Jul,0.0,0.0,2016-2022,45.0,42.0,3.0,897.0,101,23.0,1080.0,83.05,1.0,2.0,2.0,57.0,38.0,2016-2022,7-Jan,7-Jan,,91.66,5.89,93.3,275.0,0.0,0.0,15.0,0.0,45.0,46.4,,0.0,3.0,West Indies,23/07/1993
769517,K Ramharack,4,bowler,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450101,RA Reifer,4,allrounder,left-hand bat,left-arm medium-fast,5.0,4.0,36.0,9.0,50.7,0.0,0.0,5.0,26.6,5.58,28.6,9.0,26.6,5.0,7.0,27.0,7,12.0,26.5,2.0,1.0,0.0,2.0,6.11,Feb-23,0.0,0.0,2019-2021,5.0,4.0,0.0,36.0,27,9.0,71.0,50.7,0.0,0.0,1.0,1.0,0.0,2019-2021,23-Feb,23-Feb,,26.6,5.58,28.6,133.0,0.0,0.0,4.0,0.0,5.0,23.5,,0.0,5.0,West Indies,11/05/1991
230553,KAJ Roach,4,bowler,right-hand bat,right-arm fast-medium,95.0,60.0,308.0,12.83,51.85,0.0,0.0,125.0,31.08,5.09,36.6,12.83,31.08,125.0,308.0,30.34,34,576.0,35.9,92.0,57.0,0.0,124.0,5.06,Jun-27,3.0,3.0,2008-2022,95.0,60.0,36.0,308.0,34,12.83,594.0,51.85,0.0,0.0,9.0,24.0,6.0,2008-2022,27-Jun,27-Jun,,31.08,5.09,36.6,3885.0,3.0,3.0,93.0,53.0,95.0,763.1,,0.0,125.0,West Indies,30/06/1988
1325398,A Scantlebury,4,middle-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230583,KC Schultz,4,bowler,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199304,JNT Seales,4,bowler,left-hand bat,right-arm fast-medium,7.0,3.0,16.0,16.0,55.17,0.0,0.0,4.0,80.25,5.81,82.7,16.0,80.25,4.0,,,,,,,,,,,,,,2022-2022,7.0,3.0,2.0,16.0,16*,16.0,29.0,55.17,0.0,0.0,1.0,0.0,0.0,2022-2022,Jan-39,Jan-39,,80.25,5.81,82.7,321.0,0.0,0.0,7.0,3.0,7.0,55.1,,0.0,4.0,West Indies,10/09/2001
355356,SC Selman,4,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325395,Shaunte Carrington,4,bowler,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677077,R Shepherd,4,bowling allrounder,right-hand bat,right-arm fast-medium,18.0,14.0,213.0,17.75,94.24,0.0,0.0,11.0,54.63,5.35,61.1,17.75,54.63,11.0,6.0,33.66,6,9.0,36.6,3.0,1.0,0.0,3.0,5.5,Feb-32,0.0,0.0,2019-2022,18.0,14.0,2.0,213.0,50,17.75,226.0,94.24,0.0,1.0,0.0,17.0,7.0,2019-2022,Mar-50,Mar-50,,54.63,5.35,61.1,601.0,0.0,0.0,17.0,4.0,18.0,112.1,,0.0,11.0,West Indies,26/11/1994
1206110,K Sinclair,4,bowler,right-hand bat,right-arm offbreak,3.0,1.0,3.0,,75.0,0.0,0.0,5.0,24.6,4.34,34.0,,24.6,5.0,,,,,,,,,,,,,,2022-2022,3.0,1.0,1.0,3.0,3*,,4.0,75.0,0.0,0.0,0.0,0.0,0.0,2022-2022,Apr-41,Apr-41,,24.6,4.34,34.0,123.0,0.0,1.0,3.0,1.0,3.0,28.2,,0.0,5.0,West Indies,23/11/1999
820691,OF Smith,4,bowling allrounder,right-hand bat,right-arm fast-medium,5.0,5.0,144.0,36.0,192.0,0.0,0.0,6.0,20.33,5.04,24.1,36.0,20.33,6.0,,,,,,,,,,,,,,2022-2022,5.0,5.0,1.0,144.0,46,36.0,75.0,192.0,0.0,0.0,0.0,8.0,14.0,2022-2022,26-Feb,26-Feb,,20.33,5.04,24.1,122.0,0.0,0.0,5.0,0.0,5.0,24.1,,0.0,6.0,West Indies,01/11/1996
355359,SR Taylor,4,allrounder,right-hand bat,right-arm offbreak,,,,,,,1.0,,,,,,,,182.0,21.25,56,265.0,28.6,9.0,9.0,0.0,8.0,4.45,Apr-23,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,09/11/1993
