id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
550133,Mosaddek Hossain,25,middle-order batter,right-hand bat,right-arm offbreak,43,35,634,25.36,82.76,0,2,17,57,5.14,66.4,25.36,57,17,549,56.21,52*,633,64.4,35,30,0,14,5.23,Mar-13,0,0,2016-2022,43,35,10,634,52*,25.36,766,82.76,0,3,1,58,13,2016-2022,13-Mar,13-Mar,,57,5.14,66.4,969,0,0,41,2,43,188.2,,0,17,Bangladesh,10-12-1995
1145089,S Mostary,25,middle-order batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549950,Munim Shahriar,25,batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,22-05-1998
1080264,Murshida Khatun,25,opening batter,left-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56029,Mushfiqur Rahim,25,wicketkeeper batter,right-hand bat,,239,224,6811,36.42,78.77,8,37,,,,,36.42,,,6100,,144,7718,,216,202,7,,,,,,2006-2022,239,224,37,6811,144,36.42,8646,78.77,8,42,11,535,85,2006-2022,,,,,,,,,,,,239,,,,,Bangladesh,09-05-1987
330902,Mustafizur Rahman,25,bowler,left-hand bat,left-arm fast-medium,82,36,105,7.5,57.37,0,0,141,23.9,5.08,28.2,7.5,23.9,141,78,22.97,18*,136,26.2,56,27,0,107,5.24,Jun-43,3,5,2015-2022,82,36,22,105,18*,7.5,183,57.37,0,0,6,13,0,2015-2022,Jun-43,Jun-43,,23.9,5.08,28.2,3370,5,4,81,28,82,663.2,,0,141,Bangladesh,06-09-1995
924183,Nahida Akter,25,bowler,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629058,Najmul Hossain Shanto,25,top-order batter,left-hand bat,right-arm offbreak,15,15,210,14,60.86,0,0,0,,4,,14,,0,20,,7,45,,3,3,0,,,,,,2018-2022,15,15,0,210,38,14,345,60.86,0,0,2,22,2,2018-2022,,,,,4,,4,0,0,1,0,15,1,,0,0,Bangladesh,25-08-1998
348049,Nasum Ahmed,25,bowler,left-hand bat,slow left-arm orthodox,4,1,18,,163.63,0,0,5,25.6,3.39,45.2,,25.6,5,,,,,,,,,,,,,,2022-2022,4,1,1,18,18*,,11,163.63,0,0,0,2,1,2022-2022,19-Mar,19-Mar,,25.6,3.39,45.2,128,0,0,4,8,4,37.4,,0,5,Bangladesh,05-12-1994
932635,Nayeem Hasan,25,bowler,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,02-12-2000
924177,Nigar Sultana,25,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410765,Nurul Hasan,25,wicketkeeper batter,right-hand bat,,6,5,165,82.5,94.82,0,0,,,,,82.5,,,68,,44,70,,2,2,0,,,,,,2016-2022,6,5,3,165,45*,82.5,174,94.82,0,0,0,15,3,2016-2022,,,,,,,,,,,,6,,,,,Bangladesh,21-11-1993
